,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,anyon,say,cat,’,affection,liar,https://t.co/aqearcv4gn,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rt,get,get,?,aw,aw,?,bitch,?,ilaba,?,ang,?,?,dragon,?,?,ito,ang,handog,?,sa,year,dog,?,na,siksik,?,mapula,?,?,magsuk,…
2,rt,caracaaa,..,que,ess,dog,fez,?,kkk,https://t.co/gywdw9kthc,,,,,,,,,,,,,,,,,,,,,,,
3,??????????????,?,???????????????????????,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,like,spend,far,much,time,bizarr,purgatori,furnish,anim,gif,outrag,you'll,app,…,https://t.co/lhjjjjr8hk,,,,,,,,,,,,,,,,,,
5,rt,noth,last,forev,except,love,dog,https://t.co/kfvr0vyls6,,,,,,,,,,,,,,,,,,,,,,,,,
6,rt,strong,independ,dog,don't,need,man,https://t.co/wi81hnq54z,,,,,,,,,,,,,,,,,,,,,,,,,
7,rt,seen,jet,?,hunt,find,belov,labrador,possibl,stolen,thiev,https://t.co/sqqpwlguqo,,,,,,,,,,,,,,,,,,,,,
8,rt,wendi,bark,seulgi,born,year,dog,lmao,look,member,embarrass,https://t.co/…,,,,,,,,,,,,,,,,,,,,,
9,dog,thing,earth,love,love,josh,bill,henri,wheeler,shaw,https://t.co/epivpj8ndt,,,,,,,,,,,,,,,,,,,,,,
10,rt,boyfriend,spoon,dog,spoon,https://t.co/eosecdu2e9,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,??,????,??,????,??,????,8?8,https://t.co/ks13kzfwck,,,,,,,,,,,,,,,,,,,,,,,,,
12,rt,dog,parent,https://t.co/bdyftvhx5j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,?,...,??,?,?,?????,?,?????????,?,,,,,,,,,,,,,,,,,,,,,,,,
14,isn't,hear,dog,whistl,she',got,ident,polit,tinnitu,https://t.co/5filnlr4sj,https://t.co/xmtzdfky22,,,,,,,,,,,,,,,,,,,,,,
15,rt,180215,[,],2018,lunar,new,year,greet,—,jaehyun,“,czenni,happi,new,year,2018,year,golden,…,,,,,,,,,,,,,
16,rt,dog,parent,https://t.co/bdyftvhx5j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,@3_yaga,????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,rt,jungkook,play,dog,..,soft,u,hear,laughter,jun,…,,,,,,,,,,,,,,,,,,,,,,
20,rt,’,gunna,start,tell,friend,dog,’,usual,like,peopl,come,dog,cuddl,…,,,,,,,,,,,,,,,,,,
21,rt,isl,dog,review,we,anderson',latest,treat,dog,lover,?,?,?,?,https://t.co/divhlgl7so,,,,,,,,,,,,,,,,,,
22,’,watch,dog,poni,show,prefer,keep,breakfast,stomach,,,,,,,,,,,,,,,,,,,,,,,,
23,rt,’,mouth,dog,...,https://t.co/e1p2wkhhmw,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ask,three,feng,shui,master,donald,trump,’,forecast,year,dog,https://t.co/wi3wb9u8qz,,,,,,,,,,,,,,,,,,,,,
